,,,,,,,Games,,Passing,,,,,,,,,,,,,,,,,,,,
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Y/A,AY/A,ANY/A,Y/G,W,L,T,4QC,GWD
64,Keenan Allen,2013,2019,Mar-76,SDG,NFL,74,70,0,0,,0,0,0,,,,,1,7,,,-7,0,,,,,
65,Torrence Allen,2014,2014,,SDG,NFL,0,,0,0,,0,0,0,,,,,0,0,,,,,,,,0,0
66,Aundrae Allison,2007,2008,5-146,MIN,NFL,26,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
67,Geronimo Allison,2016,2019,,GNB,NFL,34,8,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
68,Gerald Alphin,1990,1991,,NOR,NFL,16,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
69,Richard Alston,2004,2004,,CLE,NFL,9,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
70,Otis Amey,2005,2005,,SFO,NFL,11,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
71,David Anderson,2006,2011,7-251,TOT,NFL,67,10,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
72,Flipper Anderson,1989,1997,Feb-46,TOT,NFL,98,76,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
73,Joe Anderson,2012,2013,,CHI,NFL,9,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,,
74,Robby Anderson,2016,2019,,NYJ,NFL,49,35,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
75,Ronnie Anderson,1998,1998,,CRD,NFL,4,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
76,Scotty Anderson,2001,2003,5-148,DET,NFL,34,8,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
77,Stevie Anderson,1994,1996,8-215,TOT,NFL,23,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
78,Scott Ankrom,1989,1989,12-308,DAL,NFL,10,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
79,Reidel Anthony,1997,2001,16-Jan,TAM,NFL,73,38,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
80,Terry Anthony,1990,1991,11-281,TAM,NFL,10,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
81,Glenn Antrum,1989,1989,,NWE,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
82,JJ Arcega-Whiteside,2019,2019,,PHI,NFL,4,1,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
83,Emmanuel Arceneaux,2011,2011,,MIN,NFL,3,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
84,Dri Archer,2014,2015,Mar-97,PIT,NFL,20,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
85,Justin Armour,1995,1999,4-113,TOT,NFL,39,16,0,1,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,0,0,0,,
86,Anthony Armstrong,2010,2012,,TOT,NFL,35,13,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
87,Derick Armstrong,2003,2005,,HTX,NFL,35,5,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
88,Jahine Arnold,1996,1999,4-132,TOT,NFL,13,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
89,Devin Aromashodu,2007,2012,7-233,TOT,NFL,61,11,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
90,Adrian Arrington,2010,2012,7-237,NOR,NFL,5,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,0,0
91,Marcell Ateman,2018,2018,7-228,RAI,NFL,7,6,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
92,Miles Austin,2006,2015,,TOT,NFL,129,70,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
93,Tavon Austin,2013,2019,8-Jan,TOT,NFL,84,50,0,1,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,,,,,
94,Terrence Austin,2010,2011,7-219,WAS,NFL,18,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
95,Jason Avant,2006,2015,4-109,TOT,NFL,148,53,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
96,Donnie Avery,2008,2014,Feb-33,TOT,NFL,77,60,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
97,Demarcus Ayers,2016,2016,7-229,PIT,NFL,2,1,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
98,Aaron Bailey,1994,1998,,CLT,NFL,64,9,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
99,Karsten Bailey,1999,2003,Mar-82,TOT,NFL,19,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
100,Stacey Bailey,1989,1990,Mar-63,ATL,NFL,18,1,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
101,Stedman Bailey,2013,2015,Mar-92,RAM,NFL,38,8,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
102,Thomas Bailey,1995,1995,,CIN,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
103,Victor Bailey,1993,1996,Feb-50,TOT,NFL,34,10,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
104,Dallas Baker,2008,2008,7-227,PIT,NFL,8,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
105,Eugene Baker,1999,2004,5-164,TOT,NFL,8,1,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
106,Robert Baker,2002,2002,,MIA,NFL,10,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
107,Shannon Baker,1994,1994,8-205,CLT,NFL,4,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
108,Stephen Baker,1989,1992,Mar-83,NYG,NFL,62,36,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
109,Tim Baker,2001,2001,,PIT,NFL,3,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
110,Jonathan Baldwin,2011,2013,26-Jan,TOT,NFL,33,11,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,,
111,Fred Banks,1989,1993,8-203,TOT,NFL,56,4,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
112,Gary Banks,2010,2010,,SDG,NFL,2,2,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
113,Alex Bannister,2001,2006,5-140,TOT,NFL,59,4,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
114,Michael Barber,1989,1992,4-112,TOT,NFL,41,3,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
115,Ramses Barden,2009,2012,Mar-85,NYG,NFL,29,1,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
116,Reggie Barlow,1996,2003,4-110,TOT,NFL,82,5,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
117,Johnnie Barnes,1992,1995,9-231,TOT,NFL,29,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
118,Lew Barnes,1989,1989,5-138,KAN,NFL,2,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
119,Fred Barnett,1990,1997,Mar-77,TOT,NFL,96,88,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
120,Tim Barnett,1991,1993,Mar-77,KAN,NFL,44,11,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
121,Reggie Barrett,1991,1992,Mar-58,DET,NFL,10,6,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
122,Hank Baskett,2006,2010,,TOT,NFL,67,11,0,1,0,0,0,1,,0,100,0,0,0,0,-45,-45,0,0,0,0,,
123,D'Wayne Bates,1999,2003,Mar-71,TOT,NFL,47,21,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
124,Phil Bates,2012,2014,,TOT,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,0,0
125,Cameron Batson,2018,2018,,OTI,NFL,11,2,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
126,Pat Batteaux,2001,2001,,SDG,NFL,5,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
127,Arnaz Battle,2003,2011,6-197,TOT,NFL,113,38,2,3,66.67,27,0,0,,0,0,95.1,0,0,9,9,9,0.2,0,0,0,,
128,Sanjay Beach,1989,1993,,TOT,NFL,42,11,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
129,Cole Beasley,2012,2019,,TOT,NFL,107,25,0,2,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,0,0,,,
130,Brett Bech,1997,1999,,NOR,NFL,34,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
131,Chad Beebe,2018,2019,,MIN,NFL,6,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
132,Don Beebe,1989,1997,Mar-82,TOT,NFL,116,51,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
133,Josh Bellamy,2012,2019,,TOT,NFL,78,14,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,,
134,Mike Bellamy,1990,1990,Feb-50,PHI,NFL,6,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
135,Ronald Bellamy,2004,2004,,MIA,NFL,2,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
136,Tim Benford,2012,2014,,DAL,NFL,0,,0,0,,0,0,0,,,,,0,0,,,,,0,0,,0,0
137,Kelvin Benjamin,2014,2018,28-Jan,TOT,NFL,61,52,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
138,Travis Benjamin,2012,2019,4-100,TOT,NFL,99,37,0,1,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,0,0,,,
