Rk,Player,From,To,No of Season,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
150,James Thornton,1989,1995,7,TOT,NFL,80,58,53,92,1203,13.08,7,15,,
151,Tony Moeaki,2010,2015,6,TOT,NFL,48,31,147,91,1201,13.2,6,25,61.90%,8.17
152,Richard Rodgers,2014,2018,5,TOT,NFL,70,24,182,121,1173,9.69,13,16.8,66.50%,6.45
153,Clay Harbor,2010,2016,7,TOT,NFL,98,38,166,114,1170,10.26,8,11.9,68.70%,7.05
154,Rob Housler,2011,2015,5,TOT,NFL,65,28,175,109,1166,10.7,1,17.9,62.30%,6.66
155,Austin Seferian-Jenkins,2014,2018,5,TOT,NFL,43,29,190,116,1160,10,11,27,61.10%,6.11
156,Boo Williams,2001,2004,4,NOR,NFL,59,20,210,107,1143,10.68,12,19.4,51.00%,5.44
157,Keith Cash,1991,1996,6,TOT,NFL,64,34,172,118,1136,9.63,10,17.8,,
158,O.J. Howard,2017,2019,3,TAM,NFL,28,26,99,70,1128,16.11,11,40.3,70.70%,11.39
159,Hoby Brenner,1989,1993,5,NOR,NFL,73,70,40,90,1122,12.47,7,15.4,,
160,Jeff Cumberland,2010,2017,8,TOT,NFL,72,47,164,88,1121,12.74,10,15.6,53.70%,6.84
161,Hunter Henry,2016,2019,4,SDG,NFL,30,24,120,85,1117,13.14,12,37.2,70.80%,9.31
162,Jonathan Hayes,1989,1996,8,TOT,NFL,124,94,88,97,1105,11.39,9,8.9,,
163,Garrett Celek,2012,2018,7,SFO,NFL,86,30,132,82,1104,13.46,12,12.8,62.10%,8.36
164,Mike Sellers,1998,2011,14,TOT,NFL,174,62,189,123,1095,8.9,18,6.3,65.10%,5.79
165,Jed Weaver,1999,2004,6,TOT,NFL,90,37,142,88,1090,12.39,6,12.1,62.00%,7.68
166,Keith Jennings,1989,1997,9,TOT,NFL,92,61,134,107,1082,10.11,10,11.8,,
167,Rhett Ellison,2012,2019,8,TOT,NFL,107,71,152,106,1065,10.05,6,10,69.70%,7.01
168,David Njoku,2017,2019,3,CLE,NFL,34,20,155,92,1062,11.54,9,31.2,59.40%,6.85
169,Garrett Graham,2010,2015,6,HTX,NFL,60,31,177,100,1059,10.59,10,17.7,56.50%,5.98
170,Ben Troupe,2004,2008,5,TOT,NFL,57,29,172,106,1056,9.96,7,18.5,61.60%,6.14
171,O.J. Santiago,1997,2003,7,TOT,NFL,78,60,138,81,1041,12.85,9,13.3,58.70%,7.54
172,Adrian Cooper,1991,1996,6,TOT,NFL,77,50,126,87,1037,11.92,5,13.5,,
173,Virgil Green,2011,2019,9,TOT,NFL,119,67,133,92,1030,11.2,5,8.7,69.20%,7.74
174,Aaron Pierce,1992,1999,8,TOT,NFL,82,43,169,97,1029,10.61,5,12.5,57.40%,6.09
175,Fred Baxter,1993,2003,11,TOT,NFL,134,50,179,100,1008,10.08,12,7.5,55.90%,5.63
176,Brandon Manumaleuna,2001,2010,10,TOT,NFL,158,103,166,115,1008,8.77,13,6.4,69.30%,6.07
177,Roland Williams,1998,2005,8,TOT,NFL,94,68,178,114,1004,8.81,13,10.7,64.00%,5.64
178,Justin Peelle,2002,2011,10,TOT,NFL,151,68,194,123,1003,8.15,12,6.6,63.40%,5.17
179,Alfred Pupunu,1992,2000,9,TOT,NFL,103,42,154,102,1000,9.8,3,9.7,66.20%,6.49
180,Levine Toilolo,2013,2019,7,TOT,NFL,98,67,138,95,986,10.38,8,10.1,68.80%,7.14
181,Leonard Pope,2006,2012,7,TOT,NFL,103,51,157,105,982,9.35,11,9.5,66.90%,6.25
182,Ted Popson,1994,1998,5,TOT,NFL,68,20,136,103,980,9.51,8,14.4,75.70%,7.21
183,Carlester Crumpler,1994,1999,6,TOT,NFL,78,32,131,90,979,10.88,4,12.6,68.70%,7.47
184,Brian Kozlowski,1994,2007,14,TOT,NFL,182,29,139,85,978,11.51,8,5.4,61.20%,7.04
185,Pat Carter,1989,1997,9,TOT,NFL,139,80,131,94,972,10.34,9,7,,
186,Larry Donnell,2012,2016,5,NYG,NFL,54,27,161,110,969,8.81,9,17.9,68.30%,6.02
187,Niles Paul,2011,2018,8,TOT,NFL,88,27,114,78,954,12.23,2,10.8,68.40%,8.37
188,Andrew Quarless,2010,2015,6,GNB,NFL,60,27,141,89,940,10.56,6,15.7,63.10%,6.67
189,David Thomas,2006,2012,7,TOT,NFL,80,38,154,102,938,9.2,8,11.7,66.20%,6.09
190,Dan Campbell,1999,2008,10,TOT,NFL,114,76,143,91,934,10.26,11,8.2,63.60%,6.53
191,Ben Utecht,2005,2008,4,TOT,NFL,51,36,130,87,923,10.61,3,18.1,66.90%,7.1
192,Chris Gedney,1993,2000,8,TOT,NFL,73,21,119,83,914,11.01,8,12.5,69.70%,7.68
193,Jason Dunn,1996,2007,12,TOT,NFL,160,51,147,81,910,11.23,11,5.7,55.10%,6.19
194,Greg Clark,1997,2000,4,SFO,NFL,55,39,142,92,909,9.88,4,16.5,64.80%,6.4
195,Logan Paulsen,2010,2018,9,TOT,NFL,120,65,146,91,907,9.97,7,7.6,62.30%,6.21
196,Tim Wright,2013,2015,3,TOT,NFL,41,11,125,89,907,10.19,13,22.1,71.20%,7.26
197,Darren Fells,2014,2019,6,TOT,NFL,74,52,107,75,900,12,11,12.2,70.10%,8.41
198,Will Tye,2015,2017,3,TOT,NFL,32,18,138,94,897,9.54,4,28,68.10%,6.5
199,Dion Sims,2013,2018,6,TOT,NFL,78,40,139,91,888,9.76,9,11.4,65.50%,6.39
200,C.J. Fiedorowicz,2014,2017,4,HTX,NFL,51,42,142,89,881,9.9,6,17.3,62.70%,6.2
201,Michael Gaines,2004,2009,6,TOT,NFL,83,48,139,84,869,10.35,6,10.5,60.40%,6.25
202,Aaron Shea,2000,2005,6,CLE,NFL,65,30,164,97,851,8.77,7,13.1,59.10%,5.19
203,George Wrighster,2003,2008,6,JAX,NFL,67,28,147,94,850,9.04,9,12.7,63.90%,5.78
204,James Casey,2009,2015,7,TOT,NFL,95,23,104,72,842,11.69,6,8.9,69.20%,8.1
205,C.J. Uzomah,2015,2019,5,CIN,NFL,49,31,125,83,835,10.06,5,17,66.40%,6.68
206,Josh Hill,2013,2019,7,NOR,NFL,91,46,135,88,830,9.43,11,9.1,65.20%,6.15
207,Craig McEwen,1989,1991,3,SDG,NFL,36,13,,73,823,11.27,6,22.9,,
208,Mark Andrews,2018,2019,2,RAV,NFL,20,3,82,57,818,14.35,6,40.9,69.50%,9.98
209,Evan Moore,2009,2012,4,TOT,NFL,48,9,103,63,810,12.86,5,16.9,61.20%,7.86
210,Tyler Higbee,2016,2019,4,RAM,NFL,52,43,126,73,801,10.97,5,15.4,57.90%,6.36
211,Tyrone Davis,1995,2002,8,TOT,NFL,75,27,136,73,795,10.89,13,10.6,53.70%,5.85
212,Reggie Johnson,1991,1997,7,TOT,NFL,77,29,96,66,791,11.98,6,10.3,,
213,Gerald Everett,2017,2019,3,RAM,NFL,37,4,108,67,787,11.75,6,21.3,62.00%,7.29
214,Will Heller,2003,2012,10,TOT,NFL,134,35,149,92,782,8.5,12,5.8,61.70%,5.25
215,Andrew Jordan,1994,2001,8,TOT,NFL,92,37,149,100,772,7.72,4,8.4,67.10%,5.18
216,Clive Walford,2015,2018,4,TOT,NFL,45,11,115,70,768,10.97,6,17.1,60.90%,6.68
217,Jim Price,1991,1995,5,TOT,NFL,43,9,65,74,767,10.36,4,17.8,,
218,Courtney Anderson,2004,2007,4,TOT,NFL,43,28,112,62,763,12.31,6,17.7,55.40%,6.81
219,Mike Mularkey,1989,1991,3,PIT,NFL,39,35,,60,758,12.63,4,19.4,,
220,David LaFleur,1997,2000,4,DAL,NFL,60,44,126,85,729,8.58,12,12.2,67.50%,5.79
221,Craig Stevens,2008,2015,8,OTI,NFL,109,72,97,60,724,12.07,6,6.6,61.90%,7.46
222,Jimmie Johnson,1989,1998,10,TOT,NFL,118,33,61,61,723,11.85,5,6.1,,
223,Nick Boyle,2015,2019,5,RAV,NFL,52,29,115,84,720,8.57,0,13.8,73.00%,6.26
224,Mark Boyer,1989,1992,4,TOT,NFL,59,47,33,86,694,8.07,3,11.8,,
225,Eric Sievers,1989,1990,2,NWE,NFL,24,6,,62,692,11.16,0,28.8,,
226,Johnny McWilliams,1996,2000,5,TOT,NFL,74,33,99,73,690,9.45,9,9.3,73.70%,6.97
227,Jake Ballard,2010,2013,4,TOT,NFL,23,16,70,45,679,15.09,6,29.5,64.30%,9.7
228,Casey Fitzsimmons,2003,2009,7,DET,NFL,99,24,146,88,677,7.69,5,6.8,60.30%,4.64
229,Clarence Kay,1989,1992,4,DEN,NFL,64,59,14,68,674,9.91,2,10.5,,
230,Scott Galbraith,1990,1998,9,TOT,NFL,118,40,44,60,670,11.17,6,5.7,,
231,Tyler Kroft,2015,2018,4,CIN,NFL,51,35,95,67,661,9.87,8,13,70.50%,6.96
232,Marco Battaglia,1996,2003,8,TOT,NFL,96,11,143,71,660,9.3,2,6.9,49.70%,4.62
233,Travis McNeal,1989,1993,5,TOT,NFL,76,30,24,48,652,13.58,2,8.6,,
234,Jeff Thomason,1992,2004,13,TOT,NFL,128,15,99,67,650,9.7,10,5.1,67.70%,6.57
235,Michael Hoomanawanui,2010,2017,8,TOT,NFL,87,57,93,57,646,11.33,8,7.4,61.30%,6.95
236,Mike Dyal,1989,1993,5,TOT,NFL,32,18,16,38,640,16.84,2,20,,
237,Ricky Seals-Jones,2017,2019,3,TOT,NFL,28,6,102,50,640,12.8,5,22.9,49.00%,6.27
238,Terry Orr,1989,1993,5,TOT,NFL,63,14,33,35,637,18.2,7,10.1,,
239,Tony Stewart,2001,2009,9,TOT,NFL,115,31,121,76,623,8.2,3,5.4,62.80%,5.15
240,Tyji Armstrong,1992,1998,7,TOT,NFL,87,35,94,53,621,11.72,3,7.1,56.40%,6.61
241,Demetrius Harris,2014,2019,6,TOT,NFL,75,34,111,59,611,10.36,7,8.1,53.20%,5.5
242,Jim Dray,2010,2017,8,TOT,NFL,94,38,91,56,605,10.8,3,6.4,61.50%,6.65
243,Jeff Heuerman,2016,2019,4,DEN,NFL,41,22,93,55,605,11,4,14.8,59.10%,6.51
244,Crockett Gillmore,2014,2016,3,RAV,NFL,32,16,76,51,604,11.84,6,18.9,67.10%,7.95
245,Robert Awalt,1989,1993,5,TOT,NFL,67,20,12,57,603,10.58,0,9,,
246,Mickey Shuler,1989,1991,3,TOT,NFL,27,12,,53,603,11.38,0,22.3,,
247,Seth Devalve,2016,2019,4,TOT,NFL,45,12,77,48,596,12.42,4,13.2,62.30%,7.74
248,Nick O'Leary,2015,2019,5,TOT,NFL,51,20,62,43,593,13.79,3,11.6,69.40%,9.56
249,Luke Stocker,2011,2019,9,TOT,NFL,103,71,109,72,593,8.24,5,5.8,66.10%,5.44
250,Walter Rasby,1994,2004,11,TOT,NFL,144,70,122,64,584,9.13,5,4.1,52.50%,4.79
251,Kellen Davis,2008,2016,9,TOT,NFL,125,55,114,53,579,10.92,13,4.6,46.50%,5.08
252,Daniel Wilcox,2001,2008,8,TOT,NFL,64,17,108,76,576,7.58,8,9,70.40%,5.33
253,Ron Heller,1989,1992,4,TOT,NFL,47,29,28,58,566,9.76,2,12,,
