Rk,Player,From,To,No of Season,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
133,Qadry Ismail,1993,2002,10,TOT,NFL,137,68,673,353,5137,14.55,33,37.5,52.50%,7.63
134,John Taylor,1989,1995,7,SFO,NFL,97,96,222,324,5122,15.81,41,52.8,,
135,Eric Martin,1989,1994,6,TOT,NFL,90,69,244,352,5103,14.5,26,56.7,,
136,Hakeem Nicks,2009,2015,7,TOT,NFL,92,67,618,356,5081,14.27,31,55.2,57.60%,8.22
137,Yancey Thigpen,1991,2000,10,TOT,NFL,112,58,587,313,5081,16.23,30,45.4,,
138,O.J. McDuffie,1993,2000,8,MIA,NFL,116,78,692,415,5074,12.23,29,43.7,60.00%,7.33
139,Flipper Anderson,1989,1997,9,TOT,NFL,98,76,284,256,5038,19.68,28,51.4,,
140,Ronnie Harmon,1989,1997,9,TOT,NFL,139,14,462,467,4987,10.68,18,35.9,,
141,Dennis Northcutt,2000,2009,10,TOT,NFL,144,61,680,399,4941,12.38,18,34.3,58.70%,7.27
142,Bert Emanuel,1994,2001,8,TOT,NFL,103,87,711,351,4852,13.82,28,47.1,49.40%,6.82
143,Donte' Stallworth,2002,2012,11,TOT,NFL,115,60,594,321,4837,15.07,35,42.1,54.00%,8.14
144,Danny Amendola,2009,2019,11,TOT,NFL,129,63,718,496,4825,9.73,21,37.4,69.10%,6.72
145,Lance Moore,2006,2015,10,TOT,NFL,129,40,587,389,4816,12.38,44,37.3,66.30%,8.2
146,Robert Woods,2013,2019,7,TOT,NFL,90,80,607,376,4806,12.78,23,53.4,61.90%,7.92
147,Brian Hartline,2009,2015,7,TOT,NFL,104,73,599,344,4766,13.85,14,45.8,57.40%,7.96
148,Steve Johnson,2008,2015,8,TOT,NFL,99,67,656,381,4764,12.5,34,48.1,58.10%,7.26
149,Art Monk*,1989,1995,7,TOT,NFL,99,79,241,364,4742,13.03,29,47.9,,
150,David Patten,1997,2008,12,TOT,NFL,147,73,655,324,4715,14.55,24,32.1,49.50%,7.2
151,David Boston,1999,2005,7,TOT,NFL,75,61,589,315,4699,14.92,25,62.7,53.50%,7.98
152,Marcus Robinson,1998,2006,9,TOT,NFL,107,52,607,325,4699,14.46,43,43.9,53.50%,7.74
153,Charles Johnson,1994,2002,9,TOT,NFL,133,87,659,354,4606,13.01,24,34.6,53.70%,6.99
154,Torrance Small,1992,2001,10,TOT,NFL,133,56,655,346,4602,13.3,31,34.6,52.80%,7.03
155,Kevin Johnson,1999,2005,7,TOT,NFL,101,79,671,384,4595,11.97,25,45.5,57.20%,6.85
156,Bill Schroeder,1997,2004,8,TOT,NFL,111,78,553,304,4583,15.08,28,41.3,55.00%,8.29
157,Davante Adams,2014,2019,6,GNB,NFL,78,71,603,373,4575,12.27,39,58.7,61.90%,7.59
158,Courtney Hawkins,1992,2000,9,TOT,NFL,131,81,650,366,4573,12.49,18,34.9,56.30%,7.04
159,Victor Cruz,2010,2016,7,NYG,NFL,70,53,509,303,4549,15.01,25,65,59.50%,8.94
160,Marvin Jones,2012,2019,8,TOT,NFL,87,65,511,303,4545,15,34,52.2,59.30%,8.89
161,Willie Davis,1991,1998,8,TOT,NFL,108,97,558,286,4503,15.74,33,41.7,,
162,Antwaan Randle El,2002,2010,9,TOT,NFL,143,71,596,370,4467,12.07,15,31.2,62.10%,7.49
163,Michael Jenkins,2004,2012,9,TOT,NFL,130,79,630,354,4427,12.51,25,34.1,56.20%,7.03
164,James Jett,1993,2002,10,RAI,NFL,140,75,537,256,4417,17.25,30,31.6,47.70%,8.23
165,Ricky Sanders,1989,1995,7,TOT,NFL,96,54,302,359,4413,12.29,20,46,,
166,Drew Bennett,2001,2008,8,TOT,NFL,102,58,589,307,4412,14.37,28,43.3,52.10%,7.49
167,Kevin Walter,2003,2012,10,TOT,NFL,152,93,541,356,4379,12.3,25,28.8,65.80%,8.09
168,Devery Henderson,2004,2012,9,NOR,NFL,124,76,442,245,4377,17.87,20,35.3,55.40%,9.9
169,Michael Westbrook,1995,2002,8,TOT,NFL,89,72,576,285,4374,15.35,26,49.1,49.50%,7.59
170,Eddie Royal,2008,2016,9,TOT,NFL,116,71,659,408,4357,10.68,28,37.6,61.90%,6.61
171,Jessie Hester,1990,1995,6,TOT,NFL,92,84,387,305,4347,14.25,19,47.3,,
172,Kenny Stills,2013,2019,7,TOT,NFL,98,72,460,270,4326,16.02,33,44.1,58.70%,9.4
173,J.J. Stokes,1995,2003,9,TOT,NFL,118,69,559,342,4293,12.55,30,36.4,61.20%,7.68
174,Robert Brooks,1992,2000,9,TOT,NFL,100,67,538,309,4276,13.84,32,42.8,57.40%,7.95
175,Koren Robinson,2001,2008,8,TOT,NFL,96,70,550,294,4244,14.44,16,44.2,53.50%,7.72
176,Mohamed Sanu,2012,2019,8,TOT,NFL,107,83,551,368,4226,11.48,24,39.5,66.80%,7.67
177,Amari Cooper,2015,2019,5,TOT,NFL,65,60,494,299,4194,14.03,29,64.5,60.50%,8.49
178,Az-Zahir Hakim,1998,2006,9,TOT,NFL,110,38,567,316,4191,13.26,28,38.1,55.70%,7.39
179,Michael Thomas,2016,2019,4,NOR,NFL,51,46,459,355,4148,11.68,24,81.3,77.30%,9.04
180,Bernard Berrian,2004,2011,8,TOT,NFL,109,70,563,288,4122,14.31,24,37.8,51.20%,7.32
181,Jerry Porter,2000,2008,9,TOT,NFL,115,68,579,295,4120,13.97,31,35.8,50.90%,7.12
182,Joe Jurevicius,1998,2007,10,TOT,NFL,133,54,546,323,4119,12.75,29,31,59.20%,7.54
183,Jason Avant,2006,2015,10,TOT,NFL,148,53,558,346,4118,11.9,13,27.8,62.00%,7.38
184,Anthony Carter,1989,1995,7,TOT,NFL,84,74,201,295,4079,13.83,27,48.6,,
185,Adam Thielen,2014,2019,6,MIN,NFL,84,50,440,306,4076,13.32,21,48.5,69.50%,9.26
186,Drew Hill,1989,1993,5,TOT,NFL,78,65,157,324,4073,12.57,20,52.2,,
187,Josh Gordon,2012,2019,8,TOT,NFL,56,53,442,234,4047,17.29,20,72.3,52.90%,9.16
188,Michael Timpson,1989,1997,9,TOT,NFL,116,51,506,300,4047,13.49,12,34.9,,
189,Kelvin Martin,1989,1996,8,TOT,NFL,116,59,351,313,4043,12.92,12,34.9,,
190,Percy Harvin,2009,2016,8,TOT,NFL,75,61,519,353,4026,11.41,22,53.7,68.00%,7.76
191,Travis Taylor,2000,2007,8,TOT,NFL,101,90,612,312,4017,12.88,22,39.8,51.00%,6.56
192,Javon Walker,2002,2009,8,TOT,NFL,83,46,481,267,4011,15.02,31,48.3,55.50%,8.34
193,Michael Floyd,2012,2018,7,TOT,NFL,102,51,504,266,3959,14.88,25,38.8,52.80%,7.86
194,Bryant Johnson,2003,2011,9,TOT,NFL,139,74,636,314,3938,12.54,16,28.3,49.40%,6.19
195,Sammy Watkins,2014,2019,6,TOT,NFL,66,64,439,255,3936,15.44,31,59.6,58.10%,8.97
196,Calvin Williams,1990,1996,7,TOT,NFL,100,85,422,308,3925,12.74,35,39.3,,
197,Allen Robinson,2014,2019,6,TOT,NFL,60,56,512,281,3882,13.81,26,64.7,54.90%,7.58
198,Kendall Wright,2012,2017,6,TOT,NFL,82,45,529,339,3858,11.38,19,47,64.10%,7.29
